DUNNART,TREATMENT,TIME,MOTILE,PROGRESSIVE,RAPID,MEDIUM,SLOW,STATIC,PATH_VELOCITY_,SD_PV,PROG_VELOCITY,SD_PROG_V,TRACK_SPEED,SD_TS,LATERAL_AMPLITUDE,SD_LA,BEAT_FREQUENCY,SD_BF,STRAIGHTNESS,SD_STR,LINEARITY,SD_LIN,ELONGATION,SD_ELON,AREA,SD_AREA
1,C,0,18,5,10,8,1,81,43.7,23,20.6,13.5,98.8,62.5,4.7,3.7,35.3,19.2,51,28,27,22,23,16.3,105.3,135.5
1,1,1,26,8,18,8,1,73,47.6,21.4,20.3,13.4,90.9,42.4,6.8,3.3,26.1,16.2,46,27,25,18,22,18.3,104.9,100.8
1,2,1,24,8,14,10,1,75,44.8,21.5,18.7,12.9,94.2,43.1,9,4.3,33.6,18,43,25,23,21,27,21.6,141.9,177.4
1,3,1,17,5,13,4,0,83,50.4,22.8,15.9,9.8,98.1,44.2,5.5,2.9,36.5,18.3,34,21,19,16,24,17.3,115.4,87.4
1,4,1,20,8,13,7,1,79,52.7,30.4,25.9,28.4,102.6,51.4,7.4,5,33.2,21.4,43,29,25,23,24,13.4,108.9,158.7
1,1,2,23,10,18,5,0,77,67.8,66.7,39.3,69.7,109.3,72.3,7.2,3.9,20.8,18.1,51,31,32,25,22,17.3,116.1,122.8
1,2,2,23,6,17,6,0,77,50,23.9,18.4,13.4,92.7,48,7.5,3.3,34,16.5,38,23,21,14,23,16.2,100.9,88.1
1,3,2,13,4,10,3,0,87,68,43.5,33.5,42.7,114.9,65.9,9.9,4.3,31.8,19.2,46,28,30,24,22,12.1,90.6,71.1
1,4,2,20,4,11,9,1,79,49.4,39.1,20.2,24.5,92.1,67.1,7.9,4.9,36.3,18.4,39,29,24,24,24,14.3,108,112.1
2,C,0,29,13,18,11,0,71,43.8,17.7,22.7,14.7,87.2,36.7,6.7,3.4,30.3,22.4,51,24,30,21,28,18.5,115.3,87.4
2,1,1,27,8,16,11,1,73,46.5,22,19.5,17.3,105.9,48.1,8.7,4.6,39.4,18.6,41,24,19,14,25,19.7,114.6,107.6
2,2,1,23,15,19,4,0,77,48.6,15.8,26.1,17.1,94.3,28.1,6.8,2.9,28.4,17.6,50,25,28,17,15,7.1,133,173.1
2,3,1,8,3,3,4,1,91,39.8,25.5,22.6,28.2,123.9,42.9,8.4,2.6,44.7,21.6,46,31,17,17,20,12.7,65.1,54
2,4,1,15,6,9,5,1,84,47.9,27.8,25.5,30.7,106.8,40.6,10.3,5.1,33.7,20.6,44,29,21,20,26,20.1,110.7,104.3
2,1,2,14,5,5,9,0,86,35.4,21.4,20.5,17.6,88.3,53.6,7.3,1.7,34.6,17.6,54,20,24,13,12,8.2,63.1,52.9
2,2,2,14,6,11,3,1,86,50.9,25.7,21.5,15.1,114.9,51.8,7.1,2.1,29.4,14,47,25,21,13,12,3.6,69,35.1
2,3,2,5,0,0,5,1,93,16.7,5.6,6.8,1.9,68.9,33.1,,,49.8,7.7,43,11,11,4,9,3.6,35.5,12.5
2,4,2,10,5,8,2,0,90,55.9,31.3,25.2,22.8,124.7,60,8.5,4.9,24.9,23.2,48,32,24,22,18,12.6,76.7,47.1
3,C,0,30,14,22,8,0,70,53,33.8,26.7,32.6,112.3,55.9,8.5,4.2,31,19.4,46,27,23,18,26,17.5,153.5,243.7
3,1,1,25,10,20,5,1,74,59,34.5,23,20.7,114.7,49.8,9.1,4.7,41.9,18.4,39,22,21,14,32,19.3,98.6,89.2
3,2,1,24,10,17,7,1,75,59,46.1,32.5,43.3,115,75.7,8.3,4.8,34.4,19.5,50,25,28,21,22,16.9,104.6,132.1
3,3,1,6,3,3,2,1,94,48.6,30,37.3,35.7,89.4,32.4,6.6,2.5,26.4,22.4,64,29,38,30,21,9.3,69.9,55.3
3,4,1,17,4,11,5,0,83,42,15.3,16,11.1,104.8,39.7,8.1,2.8,39.3,19.5,40,23,19,15,29,18.9,102.4,95.2
3,1,2,23,8,14,9,0,76,50.8,32.4,26.4,31.3,110.2,48,7.1,2.4,38.5,20.9,47,28,25,23,17,15.8,71.6,99.8
3,2,2,23,8,13,10,1,75,45.3,27,23.9,21.8,101.9,50.6,8.1,4.3,34.7,21.1,52,27,27,21,18,16,78.8,121.6
3,3,2,4,0,0,4,0,96,23.1,4.3,11.4,9.5,71.7,30.8,,,21.2,18.4,45,31,27,36,9,2.3,13.6,5.4
3,4,2,14,5,8,8,0,86,42.2,21,20.7,16.6,104.6,62.1,6.9,3.6,34.7,23.8,47,28,22,18,22,15.6,87.1,126.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,