Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
A1BG,ANXA2,A1BG,AAK1,AGPS,DYNC1H1,MYH9,E2RAZ6
A2M,ANXA1,A2M,AARSD1,AHSA2P,IQGAP1,TKT,F1PTS8
AAK1,ANXA4,A2ML1,Abca2,AK7,MYH9,VCP,F1PLA1
AARSD1,ANXA5,AASS,Abcb1a,ANKS1A,VCP,AHCY,E2QXY7
ABCE1,PRSS3,ABCD3,Abcc3,ARMC4,ALB ,AKR1A1,E2R129
ABCF1,CD109,ABCE1,Abce1,ATXN2,PGM1,TBCA,Q4LAL9
ABHD14B,MYH9,ACACB,ABCF1,BOD1L1,EZR,CSRP1,E2RKF3
ABI1,TUBA1A,ACAD8,Abcf2,CAPS,FASN,NME2,E2RL88
ABI2,TUBB4B,ACADM,Abhd14b,CCDC187,UBA1,GDI2,E2REA4
ABR,OVGP1,ACADS,Abhd16a,CFAP298,HSP90AA1,GPI,E2RMQ3
ACAT1,CLIC1,ACADSB,Abhd17a,CFAP53,PKM,RAN,J9P980
ACE,HSPA1A,ACADVL,Abhd17c,CFAP70,NPEPPS,SLC9A3R1,J9P9R6
ACLY,UPK3BL,ACAT1,ABI1,CLUAP1,ENO1,GLO1,J9P309
ACO1,MUC16,ACE,ABI2,CSTF2,ANXA1,ARHGDIA,J9NVL9
ACO2,ENPP3,ACLY,ABR,DAW1,GFPT1,HNRNPD,E2RRB7
ACOT11,EEF1A1,ACO1,Acap2,DNAAF1,SELENBP1,TUBB+A:B,F1PIG2
ACOT7,ANXA8,ACO2,acat1-a,DNAAF2,HSPA8,GALM,E2RB79
ACSL4,EZR,ACSF2,Ace,DNAAF3,EEF2,MTPN,F1PRS3
ACTA2,CD9,ACTA1,ACO1,DNAAF5,ACO1,YWHAE,F1P634
ACTB,ANXA11,ACTA2,ACOT11,DNAH1,TKT,CNDP2,F1PWM2
ACTBL2,GAPDH,ACTB,ACOT7,DNAH5,CAP1,UBA1,E2RCY1
ACTG1,ATP1A1,ACTBL2,ACSL3,DNAH6,EPRS1,CLIC1,F1PG08
ACTN1,FLNB,ACTC1,ACSL4,DNAH7,HSPH1,ACTN4,J9P7S4
ACTN4,UBC,ACTG1,ACTB,DNAI1,LDHA,EEF2,J9P4M5
ACTR10,HSP90AA1,ACTG2,actc1,DNAI2,ALDH1A2,S100A11,E2RL90
ACTR1A,CLTC,ACTN1,ACTN4,DNALI1,FLNA,TALDO1,E2RCY8
ACTR1B,CDC42,ACTN2,Actr10,DYNC2LI1,G6PD,ANXA1,E2R5Q1
ACTR2,ALB,ACTN4,Actr1a,FBXL12,CNDP1,CLF1,J9NZK4
ACTR3,ALDH1A1,ACTR10,actr2-b,GDPD2,APOA1,PGAM1,F1PK66
ACTR3B,CFL1,ACTR1A,Actr3,HSPB11,GAPDH,EZR,E2QS43
ADD1,ENO1,ACTR1B,ADAM10,HTRA1,CAND1,ASRGL1,F1P895
ADD3,S100A11,ACTR2,ADAM9,HYDIN,PGK1,CALM1,F1Q444
ADGB,DMBT1,ACTR3,ADD3,IFT22,TF ,AK1A1,E2RDB9
ADH5,SLC9A3R1,ACTR3B,Adgb,IFT52,PHGDH,PTMA,E2RL17
ADIPOQ,PPIA,ADCY9,ADH5,IFT57,IDH1,MDH1,F6V9R9
ADRM1,RAB5C,ADD1,ADRBK2,IFT74,LAP3,CKB,E2R561
AFAP1L2,NT5E,ADD2,ADRM1,IFT80,MDH1,LGALS3,E2RDB2
AFM,HSPB1,ADD3,ADSS,IFT81,PKHD1L1,TUBA1A,E2R9F5
AGO1,PKM,ADGB,AGO1,IFT88,VCL,PFN1,E2RSR5
AGO2,LGALS3,ADIPOQ,AGO2,ISYNA1,TARS1,PRDX5,J9JHD9
AGR2,AHNAK,ADNP2,AGR2,KCNRG,TKFC,HMGB1,P00011
AGRN,EEF2,AFAP1L2,Ahcyl1,KIAA1211L,UGP2,ANXA5,F1PYU9
AHCY,DYNC1H1,AFM,AHNAK,KIFBP,HSPA4,ALDH1A1,F1P6N7
AHCYL1,CPNE3,AFMID,Aida,LGALS2,GDI1,HSPA8,F1P841
AHCYL2,VCP,AFP,AIFM1,LOC100914901,WDR1,ALDOA,F1PXL3
AHNAK,STOM,Ago1,AIM1,LOC100933649,STIP1,HSPA1A,F1PVA2
AHSG,GNB2,AGO2,AIMP1,LOC100934806,ACY1,CYTB,F1Q286
AIDA,HSPA8,AGO4,AIMP2,LRRC23,MTHFD1,SELENBP1,E2QVU9
AIMP1,GNAI2,AGR2,AK1,LRRC6,LDHB,HSP90AA1,E2RJ31
AIMP2,CAPN5,AGRN,AK7,LSM12,PYGB,PGK1,J9NY44
AK1,PEBP1,AHCY,AK9,MAP7,PRDX6,PARK7,E2QSF4
AK7,ATIC,AHCYL1,Akap10,MBNL2,TCP1,ENO1,F6Y5Z5
AK8,MUC4,AHCYL2,AKAP13,MORN1,TALDO1,PKM,F1PMG8
AK9,ALDOA,AHNAK,AKAP9,MOV10,HSPA1A,YWHAZ,E2RFJ7
AKAP10,PDIA3,AHSG,AKR1A1,MSI2,CLTC,TUBB4B,E2RRC9
AKAP13,MYO6,AIFM1,Akt2,MYCBPAP,AHCY,PRDX6,F6Y3Y5
AKAP9,TAGLN2,AIG1,AKTIP,NBEA,CKB,GSTP1,J9NX28
AKR1A1,UPK1B,AIMP2,Alad,NME5,TYMP,PRDX1,J9NVG6
AKT2,BASP1,AK1,Aldh1a1,NME9,GOT1,TXN,F1PR41
AKTIP,RPL4,AK8,ALDH1A2,NOS1,HSP90AB1 ,TPI1,F6UYJ9
ALAD,MYH14,AK9,Aldh1a3,PIGR,ALDOA,PEBP1,E2RRC6
ALB,GNAQ,AKR1A1,ALDH3B1,PIH1D1,YWHAE,SOD1,F1PNM2
ALDH16A1,RAC1,ALB,Aldh7a1,PIH1D2,ANXA5,TPPP3,J9P788
ALDH1A1,MSN,ALCAM,ALDH9A1,PLB1,CCT4,PPIA,F1Q1K6
ALDH1A2,MSLN,ALDH16A1,ALDOA,PRMT9,PAICS,GAPDH,E2R8A8
ALDH1A3,PGK1,ALDH18A1,ALDOC,ROPN1L,AHNAK,ACTB,F1PXU1
ALDH2,LGALS1,ALDH1A1,ALG2,RPAP3,PPP2R1A,CAPS,J9NWY1
ALDH3A2,TPI1,ALDH1A2,ALPL,RSPH4A,AGL,GSN,F1PIS0
ALDH3B1,FN1,ALDH1A3,ALS2,RSPH9,FKBP4,CFB,E2R8A2
ALDH7A1,PRDX6,ALDH1B1,AMPD3,RUVBL1,PGD,CFH,F1PGL4
ALDH9A1,GSTP1,ALDH1L1,AMY2B,RUVBL2,EEF1A1 ,APOC3,E2R2N2
ALDOA,FLNA,ALDH1L2,ANAPC1,SCAMP1,TPPP3,CFI,F1Q0Z2
ALDOB,FLNC,ALDH2,ANAPC4,SPA17,HBB ,FN1,E2RRQ7
ALDOC,DSTN,aldh3a1,ANAPC5,SPAG1,ATIC,C4BPA,Q5WR10
ALPL,GNAS,ALDH3A2,ANGPTL2,STK33,NASP,OVGP1,E2RRQ3
ALS2,PDCD6IP,ALDH3B1,Ank2,TBPL1,THOP1,ANXA2,F1PBS6
ALYREF,HSPA5,ALDH4A1,Ank3,TCTE1,XPNPEP1,QOR,E2RET1
AMY2B,CLU,ALDH5A1,ANKFY1,TOMM34,YWHAZ,EF1A1,J9P1N0
ANAPC1,FASN,ALDH6A1,ANKHD1,TTC12,ENSECAG00000000612,F10A1,E2RLU9
ANK3,PGAM4,ALDH7A1,ANKRD28,TTC21A,CLIC1,TTHY,E2RPY9
ANKFY1,PDLIM1,ALDH9A1,ANKRD42,TTC30B,SERPINB6,PLMN,F1PBJ4
ANKHD1,TKT,ALDOA,ANKRD44,UBAP2,WARS1,STIP1,F1PVI2
ANKRD28,HSP90AB1,ALDOB,Anks1a,UBXN11,CLU ,ROA2,E2QZ50
ANKRD44,ITGB1,ALDOC,ANO6,WDR78,GSTM3,LG3BP,F1Q088
ANKS1A,PRDX2,ALPL,ANXA1,WNK4,PRDX1,DDAH1,F1Q466
ANO6,CPNE1,ALS2,ANXA11,A2M,SNCG,IF5A1,E2QWV5
ANPEP,IQGAP1,ALYREF,ANXA2,AACS,DARS1,HS90B,F1PC72
ANXA1,RAP1B,AMOTL1,ANXA4,AAK1,PEBP1,MYL6,F1PR95
ANXA11,GSN,AMOTL2,ANXA5,AAMDC,GPD1,HSPB1,F6V1W9
ANXA2,GNA11,AMY2B,ANXA6,AAMP,SERPINB1 ,GLOD4,E2RIV1
ANXA3,RPL6,ANO7,ANXA7,AARS1,ENSECAG00000009766,SPRL1,F6V0D8
ANXA4,EHD1,ANXA1,AP1B1,ABCB6,CCT8,,E2QYZ0
ANXA5,HSP90B1,ANXA11,Ap1g1,ABCB7,IPO5,,E2RCL4
ANXA6,MIF,ANXA2,AP1G2,ABCD3,KPNB1,,J9NS87
ANXA7,GPRC5C,ANXA3,AP1M1,ABCE1,CAPN1,,E2RTB1
ANXA8,CDK14,ANXA4,AP1M2,ABCF1,CCT3,,J9NS83
AP1B1,BAIAP2,ANXA5,AP1S1,ABCF3,TTC38,,J9P5N6
AP1G1,CD46,ANXA6,AP2A1,ABCG2,TPI1,,P38377
AP1G2,RPL7L1,ANXA7,AP2A2,ABHD10,CCT2,,E2R8N9
AP1M1,MUC1,AP1B1,AP2B1,ABHD11,DCXR,,F1PBT3
AP1M2,RPL7A,AP1G1,AP2M1,ABHD12,FAH,,J9P2X4
AP1S1,ACTBL2,ap1g2,AP2S1,ABHD14B,CAPN2,,F6PME1
AP2A1,PDLIM5,AP1M2,AP3B1,ABI1,CAPS,,E2R4I1
AP2A2,CRIP2,AP2A1,AP3D1,ABR,GDI2,,F1PY05
AP2B1,YWHAZ,AP2A2,Ap3m1,ABRAXAS2,SMS,,F1PLR0
AP2M1,PI4KA,AP2B1,APIP,ACAA1,HCFC2,,F1PLR5
AP3B1,RPL18,AP2M1,APMAP,ACAA2,PSME1,,F6X6K8
AP3D1,RPL3,AP2S1,APOB,ACACA,AKR1B1,,E2RGQ5
AP3M1,RPL12,AP3S1,Appl1,ACAD8,EEF1G ,,E2QZG2
AP3S1,ANXA3,APEX1,APPL2,ACADL,A1BG,,A0A0B4J1A2
APEX1,RAB7A,APLF,ARAF,ACADM,DPP3,,E2RKQ6
APIP,EPCAM,APOA1,Arcn1,ACADS,MYH10,,J9P3G1
APOA1,S100A14,APOB,Arf1,ACADSB,CD109,,J9P1E9
APOB,RPSA,APOE,ARF5,ACADVL,CCT7,,F1PBZ4
APOE,STXBP2,APOH,Arf6,ACAP2,PGAM1,,E2RHW4
APOH,RALA,APOO,ARFGEF1,ACAT1,GSS,,F6X637
APPL1,CCT7,APPL1,ARFGEF2,ACAT2,PFKL,,E2RHW7
APPL2,EIF4A2,appl2,Arfip1,ACBD6,CCT5,,E2RAY0
ARAF,CLIC4,AQP5,ARFIP2,ACLY,ENSECAG00000021580,,F1PHS5
ARCN1,PGD,ARAP2,Arhgap1,ACO1,ENG,,F1PQM1
ARF3,PRDX1,ARCN1,ARHGAP17,ACO2,NUDC,,F1PE32
ARF4,RPS4X,ARF1,ARHGAP35,ACOT7,CAT,,E2R7W6
ARF5,RPS8,ARF3,ARHGAP5,ACOT9,ENSECAG00000020129,,E2RGH5
ARF6,TXN,ARF4,Arhgdia,ACOX1,ASL,,F1PTL1
ARFGEF1,CNDP2,ARF5,Arhgef1,ACP1,ALAD,,E2RJ26
ARFGEF2,PARK7,ARF6,ARHGEF10L,ACP1.1,PSMD2,,E2RA22
ARFIP1,A2M,ARFGEF1,ARHGEF11,ACP2,TAGLN2,,E2R1D1
ARFIP2,RNH1,ARHGDIA,ARHGEF12,ACP3,ACLY,,O18740
ARHGAP1,CHMP4B,ARHGEF15,ARHGEF26,ACP6,ANXA4,,E2R9T6
ARHGAP17,MAP4,ARL6IP5,ARHGEF5,ACSBG1,ADH5,,F6V5G7
ARHGAP35,YWHAQ,ARMC4,ARHGEF7,ACSBG2,GSN ,,E2R5F7
ARHGAP5,RAB11B,ARPC1A,ARIH2,ACSL1,HSPB1,,E2R5M7
ARHGDIA,RAB1A,ARPC1B,Arl1,ACSL3,LZTFL1,,E2R5M3
ARHGEF1,PCBP1,ARPC2,Arl2,ACSS1,HPRT1,,J9P9G4
ARHGEF12,RPL13,ARPC4,ARL3,ACSS2,GARS1,,F1Q2K6
ARHGEF5,GLIPR2,ARPC5L,ARL6,ACSS3,NSFL1C,,L7N0C2
ARHGEF7,UBA1,ARRB1,ARL8B,ACTA1,ISYNA1,,J9P3K0
ARIH2,RPL18A,ASAH1,ARMC3,ACTA2,ENSECAG00000019352,,F1PNI3
ARL1,TGM2,ASNA1,ARMC4,ACTG1,PGLS,,E2R7F3
ARL2,GNB1,ASPM,ARMC8,ACTG2,PPIA,,P24643
ARL3,CTNNA1,ATG7,Arpc1a,ACTL6A,PSME2,,E2RRH1
ARL6,FAM129B,ATL3,ARPC1B,ACTN1,QDPR,,E2QTL3
ARMC3,LASP1,ATP12A,Arpc2,ACTN4,RUVBL1,,F1PUM3
ARMC4,SEPT2,ATP1A1,Arpc3,ACTR10,A2M,,E2RE13
ARMC8,CSRP1,ATP1A2,Arpc4,ACTR1B,CFL1,,P60524
ARPC1A,RPL19,ATP1A3,Arpc5,ACTR2,PA2G4 ,,E2RGZ5
ARPC1B,MYO10,ATP1A4,Asap2,ACTR3,ACTN4,,E2QY85
ARPC2,ATP2B1,ATP1B1,ASCC3,ACY1,NME2,,E2RGZ9
ARPC3,PABPC1,ATP2A1,Asna1,ADA,CASP6,,E2RPD7
ARPC4,RPL11,ATP2A3,ASNS,ADAM10,CRYZ,,E2RSL5
ARPC5,TLN1,ATP2B1,ASPH,ADD2,ACTR3,,F1PIC7
ARPC5L,CAP1,ATP2B2,ATG2B,ADD3,ALDH7A1,,J9PB72
ARRB1,CCT8,ATP2B3,ATIC,ADGRE5,RACK1,,E2RGT2
ASAP2,FKBP4,ATP2B4,ATL2,ADI1,RPSA,,F1PKR6
ASNS,ABHD14B,ATP4A,ATL3,ADIPOQ,HNRNPK,,E2RM92
ATG2B,LLGL1,ATP5A1,ATP11B,ADK,C23H9orf64,,F1PHZ3
ATG7,VASP,ATP5B,Atp13a1,ADO,NARS1,,E2R3V2
ATIC,HSPA4,ATP5C1,ATP2A2,ADPGK,PGM2L1,,F6X834
ATP1A1,PODXL,ATP5D,ATP2B1,ADPRH,PARK7,,F1PXY4
ATP1B1,STX3,ATP5F1,ATP2B2,ADPRS,EML1,,F1PBV2
ATP2B1,RPL27A,ATP5G1,Atp2c1,ADRM1,RPS3,,E2QWD1
ATP2B2,VPS4B,ATP5G2,ATP5B,ADSL,PSMD1,,E2RJ93
ATP2B4,MYOF,ATP5G3,ATP6V0A1,ADSS1,GLOD4,,E2QTN0
ATP6V0D1,NPTN,ATP5O,ATP6V0D1,AEBP1,PSMA7,,F1Q0L5
ATP6V1A,RPS7,ATP6V1A,Atp6v1a,AFDN,RAB11B,,E2R474
ATP6V1B1,RPS5,ATP6V1B1,ATP6V1B1,AFTPH,TGM2,,F1Q3J7
ATP6V1B2,FGFR2,ATP6V1B2,Atp6v1b2,AGL,CTH,,E2RCM8
ATP6V1C1,CAPN1,ATP6V1C1,Atp6v1c1,AGO1,EPHX2,,F1P7F8
ATP6V1D,CYFIP1,ATP6V1D,ATP6V1D,AGO2,CCT6A,,F1PK29
ATP6V1E1,NDRG1,ATP6V1H,Atp6v1e1,AGPAT5,PSMA1,,J9P7Y9
ATP6V1G3,CAPZA1,ATPIF1,atp6v1g3,AGR2,ALDH9A1,,J9P7Y8
ATP6V1H,ARF4,AUH,ATP6V1H,AGT,RPL7A,,E2QUK2
ATP8B2,SRC,AURKB,Atp7a,AGXT2,PGM2,,A0A1W2NCW3
BAG5,IDH1,BASP1,ATP8B1,AHCY,SERPINC1,,F1PVU1
BAG6,SCAMP1,bcam,Atp8b2,AHCYL1,LTA4H,,E2REV4
BAIAP2,AK1,BCAP29,Atp9b,AHCYL2,VARS1,,G1K288
BAIAP2L1,TPPP3,BCAP31,Atrn,AHNAK,RPS9,,G1K267
BASP1,IGHM,BCLAF1,B9D1,AHNAK2.1,ST13,,F1PBA1
BAX,RARRES1,BHMT,Bag5,AHSA1,DPYSL2,,E2RRM5
BBS1,CAPS,BLMH,BAG6,AHSG,PSMD11,,E2RD86
BBS2,SEC31A,BMP2K,BAIAP2L1,AIDA,RPS4X,,F6Y478
BBS4,ALDH3B1,BNC1,BASP1,AIF1L,RPS3A,,E2RP26
BBS5,VWA7,BNC2,BAX,AIMP1,RARS1,,E2QYN4
BBS7,FGB,BPHL,BBS1,AIMP2,GPD1L,,J9P1C6
BBS9,MTHFD1,BPNT1,Bbs2,AIP,HUWE1,,F1PEA6
BCAM,ATP2B2,BTBD16,BBS4,AK1,PSMD3,,E2R1S5
BCR,PYCRL,BUB3,BBS5,AK2,PPA1,,E2RMR3
BDH2,CLTA,C1QC,BBS7,AK3,PGFS ,,F1PA33
BECN1,SNAP23,C5,BBS9,AKAP10,PLIN4,,E2QXU5
BICD2,SRI,CA2,Bcap31,AKAP12,OSCP1,,Q9GKK4
BIRC6,TF,CA3H2orf70,Bcr,AKAP13,PYGL,,F1PHE5
BLMH,RUVBL1,CAD,Bdh2,AKAP9,PSMA3,,J9P3Q3
BPNT1,RUVBL2,CADM1,becn1,AKR1A1,ITIH1,,J9P7P2
BRCC3,GDI2,CALD1,Bet1,AKR1D1,ENSECAG00000037149,,E2RES2
BROX,SEC14L3,CALR,Bicd2,AKT1,RPLP0,,H9GW54
BUB3,FGG,CALU,BIRC6,AKT2,PTGR2,,F1Q424
BZW1,GGT1,CAMK2A,BLMH,AKTIP,CAPNS1,,E2R461
BZW2,TMC4,CAMK2D,Bpnt1,ALAD,AKR7A2,,F6XFZ9
C1QC,PDXK,CAMK2G,Brcc3,ALCAM,RAN,,F1PRL5
C2CD5,NUDC,CAND1,BRE,ALDH16A1,ENSECAG00000008615,,F1PRL8
C3,HSPA4L,CAND2,BROX,ALDH18A1,APRT,,E2R4D5
C5,FGA,CANX,Btbd17,ALDH1A2,YWHAQ,,F1P9C4
CA2,STXBP1,CAP1,Bzw1,ALDH1A3,ADK,,J9NV93
CAB39,OSCP1,CAP2,BZW2,ALDH1L1,CDC37,,J9NV90
CACYBP,SEC23IP,CAPG,C10orf76,ALDH2,FLNB,,E2RQ14
CAD,ANXA7,CAPN1,C12orf4,ALDH3A2,DDT,,F1PUX4
CALCOCO1,SLC44A4,CAPN2,C16orf62,ALDH3B1,PSMC6,,J9NXY7
CALD1,AARS,CAPN5,C2CD5,ALDH4A1,ESD,,F1PZ47
CALR,RPL8,CAPNS1,C3,ALDH5A1,RPS2,,E2QUB9
CALU,UBR4,CAPNS2,C4B,ALDH6A1,ARHGAP18,,F1PPI5
CAMK2D,AQP5,CAPRIN1,C9orf117,ALDH7A1,PSMD12,,E2R268
CAMK2G,DYNC1I2,CAPS,CAB39,ALDH9A1,BLVRB,,F1Q013
CAND1,IGL,CAPSL,Cacna2d1,ALDOA,PDCD4,,J9NU00
CAND2,MVP,CAPZA1,CACYBP,ALDOC,PRDX5,,J9P0R0
CANX,C3,CAPZB,CAD,ALG12,PSMD6,,E2R0T9
CAP1,APOH,CARMIL1,CADPS2,ALPL,ALDH1L1,,J9NU05
CAP2,ACE,CARS,CALCOCO1,ALYREF,MSN,,F1PS73
CAPG,FHL1,CASK,calm1a,AMBP,DNPEP,,J9P0R7
CAPN1,ANPEP,CASP10,CALML5,AMDHD2,GRHPR,,E2REK3
CAPN2,LRBA,CAST,Calr,AMPD2,SERPINB9,,E2R0T6
CAPN5,EPHX2,CAT,Camk2d,AMPD3,PAFAH1B3,,F1PZL7
CAPN7,ACTR1A,CAV1,Camk2g,ANK1.1,PRMT5,,F1PZL5
CAPNS1,CKB,CAV3,CAND1,ANK3,GALM,,F1PBH0
CAPRIN1,ST13,cbr3,Canx,ANKFY1,RPS5,,P60467
CAPS,YBX1,CBR4,CAPG,ANKMY2,YWHAB,,E2R8D6
CAPSL,PROM1,CC1H1orf158,CAPN2,ANKRD28,ENSECAG00000013962,,F6XJB3
CAPZA1,WDR54,CC2H21orf33,Capn7,ANKRD40,PRPS2,,E2RMK6
CAPZA2,SLC4A1,CCAR1,CAPNS1,ANKRD44,SPI2,,F1PU09
CAPZB,NME9,CCAR2,Caprin1,ANP32A,GSR,,F1PFC6
CARM1,SELENBP1,CCDC113,CAPSL,ANP32B,TTR,,F1PRE1
CARMIL1,AP2B1,CCDC114,Capza1,ANP32E,ALDH16A1,,F1PU69
CASK,SLC29A1,CCDC13,CAPZA2,ANPEP,PSMA4,,J9NYC2
CAST,DGKB,CCDC170,Capzb,ANXA10,KCTD12,,J9P8U0
CAT,RPS6,CCDC173,Carm1,ANXA11,GSTO1,,E2R9Q7
CAV1,TCTE1,CCDC181,Casc4,ANXA2,EML2,,E2RQG8
CBR3,HBA2,ccdc187,Cask,ANXA4,CAST,,J9NUG0
CC2D1B,CRB2,CCDC22,CASP14,ANXA5,RPS7,,E2R4M0
CCAR2,RSPH4A,CCDC39,Cat,ANXA6.1,CAPZB,,E2R944
CCDC186,GNAI3,CCDC40,CAV1,ANXA9,RO60,,F1Q331
CCDC22,HNRNPK,CCDC6,CC2D1B,AOX1,ACTR2,,F1Q332
CCDC6,CIB1,CCDC88C,CC2D2A,AP1G1,AHCYL1,,F1Q0N7
CCDC91,AK7,CCDC91,CCDC13,AP1M1,ANXA7,,E2R412
CCDC93,HBB,CCDC93,Ccdc132,AP1M2,PSMA6,,E2R413
CCM2,IGLL1,CCT2,CCDC173,AP1S2,PSMB8,,E2QYQ0
CCNY,DPYSL3,CCT3,CCDC180,AP2A1,GC,,F1PMV2
CCT2,PDIA6,CCT4,CCDC186,AP2A2.1,ARHGDIA,,E2R948
CCT3,LRRFIP1,CCT5,Ccdc22,AP2B1,PFKP,,F1PD76
CCT4,SPAG1,CCT6A,Ccdc47,AP2M1,RUVBL2,,F1PD77
CCT5,FBXW9,CCT6B,Ccdc6,AP2S1,PFAS,,E2QUE7
CCT6A,RNPEP,CCT7,CCDC91,AP3B1,TXN,,E2R541
CCT6B,SYTL1,CCT8,Ccdc93,AP3D1,UBE2N,,E2QYD2
CCT7,MARCKSL1,CD109,CCM2,AP3M1,GFUS,,J9P3J8
CCT8,NSFL1C,CD177,CCNY,AP3S1,EEF1B2,,E2RMT4
CD109,NAPG,CD2AP,CCT3,AP4B1,PCBP2,,J9P3J1
CD2AP,PRPS2,CD55,CCT4,APBB1,SERBP1,,F1PGN6
CD55,DYNC1LI1,CD59,CCT5,APEH,TUBA1A,,J9PBE1
CD5L,RPS3,CD5L,CCT6A,APEX1,ARPC2,,J9P8R0
CD9,KIF13B,CD63,CCT7,API5,SLC9A3R1,,P62490
CDC16,DCXR,CD9,CCT8,APIP,PSMA2,,J9P915
CDC37,RPLP0,CDC42,CD109,APMAP,PFKM ,,E2REP2
CDC42,ROPN1L,CDH1,CD2AP,APOA1,PSMD5,,E2RDX2
CDC42BPA,CCT4,CDK5RAP3,Cdc16,APOA2,DDX39B,,F1PBH4
CDC42BPB,DDX17,CE3H16orf89,CDC23,APOB,ATP6V1B2,,F1PTZ7
CDC42BPG,AIMP1,CEACAM1,CDC37,APOBEC2,HDGF,,F1PUA2
CDH1,PPP1R16A,CECR2,Cdc42,APOE,TWF1,,E2QWG8
CDK1,RPS17,cenpv,CDC42BPA,APOH,EIF5A ,,F1PHR6
CDK5RAP3,RPL14,CEP128,CDC42BPB,APOO,ENSECAG00000024946,,F1PNE0
CEMIP,PSMC4,CEP131,CDC42BPG,APPL1,ARPC4,,F1PTZ9
CETN2,SLC44A1,CEP135,CDH13,APRT,IARS1,,E2RB90
CFAP20,MFGE8,CEP55,CDHR3,ARAP1,KYAT1,,F1PYG8
CFAP52,LY6G6C,CEP57L1,Cdk1,ARCN1,PSMC3,,J9NWH9
CFAP57,MYO1C,cetn2,CELF1,ARF1,QARS1,,F1PQN5
CFAP70,MYO1B,CFAP45,CEMIP,ARF4,RPL13,,J9P858
CFL1,EPS8L2,CFAP52,CEP112,ARF6,DCTN2,,E2RH87
CFL2,PLEC,CFAP53,Cetn2,ARFGAP3,SCRN2,,P33724
CGN,S100A4,cfap57,cfap20,ARFGEF1,PPP2CB,,F1Q2U8
CHID1,ATP5A1,CFAP58,CFAP52,ARFGEF3,KARS1,,F1P9U4
CHMP4B,EHD4,CFAP70,CFAP57,ARFIP1,PREP,,F1P9H9
CHMP5,MYO1D,cfap73,CFAP58,ARFIP2,SUOX,,E2RAE2
CHORDC1,HSPD1,CFL1,CFAP69,ARG1,HIF3A,,F1PFZ5
CIAO1,HSPA9,CFL2,CFAP70,ARHGAP1,YWHAG,,F1PUR8
CIB1,HSPG2,CGN,CFL1,ARHGAP17,COPS2,,F1PFZ7
CKAP4,GPRC5A,CHCHD3,CFTR,ARHGAP27,RPL5,,E2R1A0
CKAP5,MDH2,CHCHD6,Cgn,ARHGAP6,PPID,,P62999
CKB,SLC25A5,CHD3,CHMP4B,ARHGDIA,FTH1,,E2QRT0
CKM,ACTN4,CHD4,CHMP5,ARHGDIB,RPS19,,J9P2I7
CLIC1,CKMT1B,CHD5,CHMP6,ARHGDIG,MYL6,,E2RAU6
CLIC2,S100A16,CHID1,CHORDC1,ARHGEF1,PSMC5,,E2RAU5
