Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
,,,,PLAA,,,
,,,,PLBD1,,,
,,,,PLBD2,,,
,,,,PLCB1,,,
,,,,PLCB3,,,
,,,,PLCB4,,,
,,,,PLCD1,,,
,,,,PLCG1,,,
,,,,PLCL1,,,
,,,,PLEC,,,
,,,,PLEK,,,
,,,,PLEKHO2,,,
,,,,PLG,,,
,,,,PLIN2,,,
,,,,PLIN3,,,
,,,,PLOD1,,,
,,,,PLOD3,,,
,,,,PLPBP,,,
,,,,PLRG1,,,
,,,,PLS1,,,
,,,,PLS3,,,
,,,,PLTP,,,
,,,,PLXDC2,,,
,,,,PLXNB2,,,
,,,,PMPCA,,,
,,,,PNP,,,
,,,,POFUT1,,,
,,,,POFUT2,,,
,,,,POLD1,,,
,,,,POLD2,,,
,,,,POLR1C,,,
,,,,POLR2A,,,
,,,,POLR2B,,,
,,,,POLR2H,,,
,,,,POSTN,,,
,,,,PPA1,,,
,,,,PPA2,,,
,,,,PPAT,,,
,,,,PPFIBP1,,,
,,,,PPIA,,,
,,,,PPIB,,,
,,,,PPIF,,,
,,,,PPIH,,,
,,,,PPIP5K2,,,
,,,,PPL,,,
,,,,PPM1A,,,
,,,,PPM1B,,,
,,,,PPM1G,,,
,,,,PPME1,,,
,,,,PPP1CA,,,
,,,,PPP1CB,,,
,,,,PPP1R11,,,
,,,,PPP1R12A,,,
,,,,PPP1R12C,,,
,,,,PPP1R2,,,
,,,,PPP1R21,,,
,,,,PPP1R7.1,,,
,,,,PPP1R8,,,
,,,,PPP2CA,,,
,,,,PPP2R1A,,,
,,,,PPP2R1B,,,
,,,,PPP2R2D,,,
,,,,PPP2R5A,,,
,,,,PPP2R5C,,,
,,,,PPP2R5D,,,
,,,,PPP2R5E,,,
,,,,PPP3CA,,,
,,,,PPP3CB,,,
,,,,PPP4C,,,
,,,,PPP4R1,,,
,,,,PPP4R3A,,,
,,,,PPP4R3B,,,
,,,,PPP5C,,,
,,,,PPP6C,,,
,,,,PPP6R2,,,
,,,,PPP6R3,,,
,,,,PPT1,,,
,,,,PRDX1,,,
,,,,PRDX2,,,
,,,,PRDX3,,,
,,,,PRDX4,,,
,,,,PRDX5,,,
,,,,PRDX6,,,
,,,,PRELP,,,
,,,,PREP,,,
,,,,PRG4,,,
,,,,PRKAA1,,,
,,,,PRKAB1,,,
,,,,PRKAB2,,,
,,,,PRKACA,,,
,,,,PRKAG2,,,
,,,,PRKAR1A,,,
,,,,PRKAR1B,,,
,,,,PRKAR2A,,,
,,,,PRKAR2B,,,
,,,,PRKCD,,,
,,,,PRKCI,,,
,,,,PRKCSH,,,
,,,,PRKCZ,,,
,,,,PRKD1,,,
,,,,PRKD2,,,
,,,,PRKG1,,,
,,,,PRMT1,,,
,,,,PRMT3,,,
,,,,PRMT7,,,
,,,,PROC,,,
,,,,PROS1,,,
,,,,PRPF19,,,
,,,,PRPF39,,,
,,,,PRPF8,,,
,,,,PRPS2,,,
,,,,PRPSAP1,,,
,,,,PRPSAP2,,,
,,,,PRRC1,,,
,,,,PRRC2A,,,
,,,,PRRC2C,,,
,,,,PRUNE1,,,
,,,,PRXL2A,,,
,,,,PSAP,,,
,,,,PSAT1,,,
,,,,PSIP1,,,
,,,,PSMA1,,,
,,,,PSMA2,,,
,,,,PSMA3,,,
,,,,PSMA4,,,
,,,,PSMA5,,,
,,,,PSMA6,,,
,,,,PSMA7,,,
,,,,PSMB1,,,
,,,,PSMB2,,,
,,,,PSMB4,,,
,,,,PSMB6,,,
,,,,PSMB7,,,
,,,,PSMB8,,,
,,,,PSMC1,,,
,,,,PSMC2,,,
,,,,PSMC3,,,
,,,,PSMC4,,,
,,,,PSMC5,,,
,,,,PSMC6,,,
,,,,PSMD1,,,
,,,,PSMD10,,,
,,,,PSMD11,,,
,,,,PSMD13,,,
,,,,PSMD14,,,
,,,,PSMD2,,,
,,,,PSMD4,,,
,,,,PSMD5,,,
,,,,PSMD6,,,
,,,,PSMD7,,,
,,,,PSMD8,,,
,,,,PSMD9,,,
,,,,PSME3,,,
,,,,PSME4,,,
,,,,PSMF1,,,
,,,,PSMG1,,,
,,,,PSMG3,,,
,,,,PSPC1,,,
,,,,PSPH,,,
,,,,PTBP1,,,
,,,,PTBP3,,,
,,,,PTEN,,,
,,,,PTER,,,
,,,,PTGES2,,,
,,,,PTGES3,,,
,,,,PTGR2,,,
,,,,PTGS1,,,
,,,,PTK2,,,
,,,,PTK2B,,,
,,,,PTK7,,,
,,,,PTPA,,,
,,,,PTPN11,,,
,,,,PTPN12,,,
,,,,PTPN13,,,
,,,,PTPN23,,,
,,,,PTPN6,,,
,,,,PTPN9,,,
,,,,PTPRC,,,
,,,,PTRH2,,,
,,,,PUDP,,,
,,,,PUF60,,,
,,,,PUM1,,,
,,,,PUM2,,,
,,,,PURA,,,
,,,,PURB,,,
,,,,PUS1,,,
,,,,PUS10,,,
,,,,PUS7,,,
,,,,PXDN,,,
,,,,PXN,,,
,,,,PYCARD,,,
,,,,PYCR1,,,
,,,,PYCR3,,,
,,,,PYGB,,,
,,,,PYM1,,,
,,,,QARS1,,,
,,,,QDPR,,,
,,,,QKI,,,
,,,,QSOX1,,,
,,,,RAB10,,,
,,,,RAB11A,,,
,,,,RAB11B,,,
,,,,RAB12,,,
,,,,RAB14,,,
,,,,RAB18,,,
,,,,RAB1A,,,
,,,,RAB1B,,,
,,,,RAB21,,,
,,,,RAB22A,,,
,,,,RAB28,,,
,,,,RAB2A,,,
,,,,RAB2B,,,
,,,,RAB34,,,
,,,,RAB35,,,
,,,,RAB3D,,,
,,,,RAB3GAP1,,,
,,,,RAB3GAP2,,,
,,,,RAB3IP,,,
,,,,RAB4A,,,
,,,,RAB5B,,,
,,,,RAB5C,,,
,,,,RAB6A.1,,,
,,,,RAB7A,,,
,,,,RAB8A,,,
,,,,RAB9A,,,
,,,,RABEP1,,,
,,,,RABEP2,,,
,,,,RABEPK,,,
,,,,RABGAP1,,,
,,,,RABGAP1L,,,
,,,,RABGEF1,,,
,,,,RABIF,,,
,,,,RABL6,,,
,,,,RAC1,,,
,,,,RAC2,,,
,,,,RACK1,,,
,,,,RAD23A,,,
,,,,RAD23B,,,
,,,,RAF1,,,
,,,,RAI14,,,
,,,,RALB,,,
,,,,RALGAPB,,,
,,,,RALY,,,
,,,,RAN,,,
,,,,RANBP3,,,
,,,,RANBP9,,,
,,,,RANGAP1,,,
,,,,RAP1A,,,
,,,,RAP1GDS1,,,
,,,,RAP2B,,,
,,,,RAPGEF1,,,
,,,,RARS1,,,
,,,,RAVER1,,,
,,,,RB1CC1,,,
,,,,RBBP4,,,
,,,,RBBP7,,,
,,,,RBBP9,,,
,,,,RBCK1,,,
,,,,RBFA,,,
,,,,RBM10,,,
,,,,RBM39,,,
,,,,RBM47,,,
,,,,RBM7,,,
,,,,RBM8A,,,
,,,,RBMX,,,
,,,,RBP1,,,
,,,,RBP4,,,
,,,,RBP7,,,
,,,,RBPMS,,,
,,,,RBSN,,,
,,,,RCBTB1,,,
,,,,RCBTB2,,,
,,,,RCC2,,,
,,,,RCN1,,,
,,,,RCN3,,,
,,,,RDX,,,
,,,,RELA,,,
,,,,RELCH,,,
,,,,REPS1,,,
,,,,REPS2,,,
,,,,RER1,,,
,,,,REXO2,,,
,,,,RHEB,,,
,,,,RHOA,,,
,,,,RHOC,,,
,,,,RHOG,,,
,,,,RHPN2,,,
,,,,RILPL1,,,
,,,,RING1,,,
,,,,RIPK1,,,
,,,,RNASET2,,,
,,,,RNF112,,,
,,,,RNF123,,,
,,,,RNF20,,,
,,,,RNF214,,,
,,,,RNH1,,,
,,,,RNPEP,,,
,,,,RO60,,,
,,,,ROCK1,,,
,,,,ROCK2,,,
,,,,RPA1,,,
,,,,RPA2,,,
,,,,RPA3,,,
,,,,RPE,,,
,,,,RPIA,,,
,,,,RPL10,,,
,,,,RPL10A,,,
,,,,RPL11,,,
,,,,RPL12,,,
,,,,RPL13,,,
,,,,RPL13A,,,
,,,,RPL14,,,
,,,,RPL15,,,
,,,,RPL18,,,
,,,,RPL18A,,,
,,,,RPL21,,,
,,,,RPL22,,,
,,,,RPL23A,,,
,,,,RPL24,,,
,,,,RPL26,,,
,,,,RPL27,,,
,,,,RPL27A,,,
,,,,RPL3,,,
,,,,RPL30,,,
,,,,RPL31,,,
,,,,RPL32,,,
,,,,RPL35,,,
,,,,RPL36,,,
,,,,RPL37A,,,
,,,,RPL38,,,
,,,,RPL4,,,
,,,,RPL5,,,
,,,,RPL7,,,
,,,,RPL7A,,,
,,,,RPL8,,,
,,,,RPL9,,,
,,,,RPLP0,,,
,,,,RPLP2,,,
,,,,RPN1,,,
,,,,RPN2,,,
,,,,RPRD1A,,,
,,,,RPRD1B,,,
,,,,RPS12,,,
,,,,RPS13,,,
,,,,RPS14,,,
,,,,RPS15,,,
,,,,RPS15A,,,
,,,,RPS16,,,
,,,,RPS19,,,
,,,,RPS2,,,
,,,,RPS20,,,
,,,,RPS21,,,
,,,,RPS24,,,
,,,,RPS25,,,
,,,,RPS26,,,
,,,,RPS27A,,,
,,,,RPS27L,,,
,,,,RPS28,,,
,,,,RPS29,,,
,,,,RPS3,,,
,,,,RPS3A,,,
,,,,RPS4X,,,
,,,,RPS5,,,
,,,,RPS6,,,
,,,,RPS6KA1,,,
,,,,RPS6KA3,,,
,,,,RPS6KA4,,,
,,,,RPS6KB1,,,
,,,,RPS7,,,
,,,,RPS8,,,
,,,,RPSA,,,
,,,,RRAGC,,,
,,,,RRAS,,,
,,,,RRBP1,,,
,,,,RRM1,,,
,,,,RRP12,,,
,,,,RSF1,,,
,,,,RSU1,,,
,,,,RTCA,,,
,,,,RTN3,,,
,,,,RTN4,,,
,,,,RTRAF,,,
,,,,RUFY1,,,
,,,,RUFY2,,,
,,,,RUFY3,,,
,,,,RWDD1,,,
,,,,S100A10,,,
,,,,S100A11,,,
,,,,SAAL1,,,
,,,,SAE1,,,
,,,,SAHAI-12,,,
,,,,SAMD4B,,,
,,,,SAMHD1,,,
,,,,SAMM50,,,
,,,,SAR1A,,,
,,,,SARDH,,,
,,,,SARS1,,,
,,,,SART3,,,
,,,,SAT2,,,
,,,,SBDS,,,
,,,,SBF1,,,
,,,,SBNO1,,,
,,,,SCFD1,,,
,,,,SCIN,,,
,,,,SCLY,,,
,,,,SCP2,,,
,,,,SCPEP1,,,
,,,,SCRIB,,,
,,,,SCRN1,,,
,,,,SCRN3,,,
,,,,SCYL1,,,
,,,,SDCBP,,,
,,,,SDHA,,,
,,,,SDHB,,,
,,,,SEC13,,,
,,,,SEC16A,,,
,,,,SEC22B,,,
,,,,SEC23A,,,
,,,,SEC23B,,,
,,,,SEC23IP,,,
,,,,SEC24A,,,
,,,,SEC24B,,,
,,,,SEC24C,,,
,,,,SEC24D,,,
,,,,SEC61A1,,,
,,,,SEC63,,,
,,,,SELENBP1,,,
,,,,SELENOF,,,
,,,,SELENOP,,,
,,,,SELENOW,,,
,,,,SEPHS1,,,
,,,,SEPSECS,,,
,,,,SEPTIN10,,,
,,,,SEPTIN2,,,
,,,,SEPTIN7,,,
,,,,SEPTIN8,,,
,,,,SEPTIN9,,,
,,,,SERBP1,,,
,,,,SERHL2,,,
,,,,SERPINA10,,,
,,,,SERPINA6,,,
,,,,SERPINB10,,,
,,,,SERPINB5,,,
,,,,SERPINC1,,,
,,,,SERPINE2,,,
,,,,SERPINF1,,,
,,,,SERPINF2,,,
,,,,SERPING1,,,
,,,,SERPINH1,,,
,,,,SET,,,
,,,,SETD3,,,
,,,,SF1,,,
,,,,SF3A2,,,
,,,,SF3A3,,,
,,,,SF3B1,,,
,,,,SF3B2,,,
,,,,SF3B3,,,
,,,,SF3B4,,,
,,,,SFN,,,
,,,,SFPQ,,,
,,,,SFXN1,,,
,,,,SGSH,,,
,,,,SGTA,,,
,,,,SH3BGRL,,,
,,,,SH3BGRL2,,,
,,,,SH3GL1,,,
,,,,SH3GLB1,,,
,,,,SH3GLB2,,,
,,,,SH3KBP1,,,
,,,,SHMT1,,,
,,,,SHMT2,,,
,,,,SHROOM2,,,
,,,,SHTN1,,,
,,,,SIRT5,,,
,,,,SKIV2L,,,
,,,,SKP1,,,
,,,,SLC12A7,,,
,,,,SLC15A1,,,
,,,,SLC16A10,,,
,,,,SLC25A11,,,
,,,,SLC25A12,,,
,,,,SLC25A13,,,
,,,,SLC25A6,,,
,,,,SLC27A1,,,
,,,,SLC39A9,,,
,,,,SLC3A2,,,
,,,,SLC43A1,,,
,,,,SLC44A2,,,
,,,,SLC44A4,,,
,,,,SLC9A1,,,
,,,,SLC9A3R1,,,
,,,,SLC9A3R2,,,
,,,,SLMAP,,,
,,,,SLTM,,,
,,,,SMAD1,,,
,,,,SMAD2,,,
,,,,SMAP1,,,
,,,,SMARCA5,,,
,,,,SMARCC2,,,
,,,,SMARCD2,,,
,,,,SMG8,,,
,,,,SMPD2,,,
,,,,SMPDL3A,,,
,,,,SMPDL3B,,,
,,,,SMS,,,
,,,,SMU1,,,
,,,,SNCG,,,
,,,,SND1,,,
,,,,SNRNP200,,,
,,,,SNRNP40,,,
,,,,SNRNP70,,,
,,,,SNRPA,,,
,,,,SNRPA1,,,
,,,,SNRPD1,,,
,,,,SNRPD2,,,
,,,,SNRPD3,,,
,,,,SNRPE,,,
,,,,SNTB2,,,
,,,,SNU13,,,
,,,,SNW1,,,
,,,,SNX1,,,
,,,,SNX12,,,
,,,,SNX18,,,
,,,,SNX21,,,
,,,,SNX27,,,
,,,,SNX33,,,
,,,,SNX5,,,
,,,,SNX6,,,
,,,,SNX7,,,
,,,,SNX9,,,
,,,,SOD1,,,
,,,,SOD2,,,
,,,,SOD3,,,
,,,,SORBS2,,,
,,,,SORBS3,,,
,,,,SORL1,,,
,,,,SORT1,,,
,,,,SPAG17,,,
,,,,SPAG6,,,
,,,,SPAG7,,,
,,,,SPAG9,,,
,,,,SPARC,,,
,,,,SPATA6L.1,,,
,,,,SPCS2,,,
,,,,SPG21,,,
,,,,SPHKAP,,,
,,,,SPRYD7,,,
,,,,SPTA1,,,
,,,,SPTAN1,,,
,,,,SPTB,,,
,,,,SPTBN1,,,
,,,,SRGAP2,,,
,,,,SRI,,,
,,,,SRM,,,
,,,,SRP54,,,
,,,,SRP68,,,
,,,,SRP72,,,
,,,,SRPK1,,,
,,,,SRPK2,,,
,,,,SRPRA,,,
,,,,SRRM1,,,
,,,,SRRT,,,
,,,,SRSF1,,,
,,,,SRSF10,,,
,,,,SRSF2,,,
,,,,SRSF3,,,
,,,,SRSF4,,,
,,,,SRSF5,,,
,,,,SRSF6,,,
,,,,SRSF7,,,
,,,,SRSF9,,,
,,,,SSB,,,
,,,,SSH3,,,
,,,,SSR1,,,
,,,,SSRP1,,,
,,,,SSU72,,,
,,,,ST13,,,
,,,,STAB1,,,
,,,,STAM,,,
,,,,STAM2,,,
,,,,STAMBP,,,
,,,,STARD10,,,
,,,,STARD5,,,
,,,,STAT1,,,
,,,,STAT2,,,
,,,,STAT3,,,
,,,,STAT5B,,,
,,,,STAT6,,,
,,,,STIM1,,,
,,,,STIP1,,,
,,,,STK10,,,
,,,,STK24,,,
,,,,STK3,,,
,,,,STK36,,,
,,,,STK38,,,
,,,,STK38L,,,
,,,,STK39,,,
,,,,STK4,,,
,,,,STMN1,,,
,,,,STOM,,,
,,,,STOML2,,,
,,,,STRAP,,,
,,,,STRBP,,,
,,,,STRIP1,,,
,,,,STRN,,,
,,,,STRN3,,,
,,,,STT3A,,,
,,,,STT3B,,,
,,,,STUB1,,,
,,,,STX12,,,
,,,,STX7,,,
,,,,STXBP2,,,
,,,,STXBP5,,,
,,,,SUB1,,,
,,,,SUCLA2,,,
,,,,SUCLG1,,,
,,,,SUCLG2,,,
,,,,SUGT1,,,
,,,,SULT2B1,,,
,,,,SUMO2,,,
,,,,SUOX,,,
,,,,SUPT16H,,,
,,,,SUPT5H,,,
,,,,SUPT6H,,,
,,,,SURF4,,,
,,,,SUSD2,,,
,,,,SVIL,,,
,,,,SWAP70,,,
,,,,SYAP1,,,
,,,,SYMPK,,,
,,,,SYNCRIP,,,
,,,,SYNE2,,,
,,,,SYNJ1,,,
,,,,SYPL1,,,
,,,,TAB1,,,
,,,,TACC2,,,
,,,,TACSTD2,,,
,,,,TADA3,,,
,,,,TAF15,,,
,,,,TAGLN,,,
,,,,TAGLN2,,,
,,,,TALDO1,,,
,,,,TARDBP,,,
,,,,TARS1,,,
,,,,TARS3,,,
,,,,TATDN1,,,
,,,,TBC1D1,,,
,,,,TBC1D10B,,,
,,,,TBC1D13,,,
,,,,TBC1D15,,,
,,,,TBC1D17,,,
,,,,TBC1D23,,,
,,,,TBC1D24,,,
,,,,TBC1D4,,,
,,,,TBC1D5,,,
,,,,TBC1D9B,,,
,,,,TBCA,,,
,,,,TBCB,,,
,,,,TBCD,,,
,,,,TBCE,,,
,,,,TBCEL,,,
,,,,TBL1XR1,,,
,,,,TCEA1,,,
,,,,TCF25,,,
,,,,TCP1,,,
,,,,TCP11L1,,,
,,,,TECR,,,
,,,,TFAM,,,
,,,,TFCP2,,,
,,,,TFG,,,
,,,,TGFB1I1,,,
,,,,TGFBI,,,
,,,,TGM2,,,
,,,,TGOLN2,,,
,,,,THADA,,,
,,,,THBD,,,
,,,,THOC3,,,
,,,,THOP1,,,
,,,,THRAP3,,,
,,,,THUMPD1,,,
,,,,THUMPD3,,,
,,,,THY1,,,
,,,,TIA1.1,,,
,,,,TIAL1,,,
,,,,TIMM44,,,
,,,,TIPRL,,,
,,,,TJP1,,,
,,,,TJP2,,,
,,,,TJP3,,,
,,,,TKFC,,,
,,,,TKT,,,
,,,,TLE3,,,
,,,,TLN1,,,
,,,,TLN2,,,
,,,,TM9SF2,,,
,,,,TM9SF3,,,
,,,,TM9SF4,,,
,,,,TMED10,,,
,,,,TMED2,,,
,,,,TMED4,,,
,,,,TMED5,,,
,,,,TMED7,,,
,,,,TMED9,,,
,,,,TMEM30A,,,
,,,,TMEM33,,,
,,,,TMEM43,,,
,,,,TMOD1,,,
,,,,TMOD2,,,
,,,,TMOD3,,,
,,,,TMSB4X,,,
,,,,TMX4,,,
,,,,TNKS1BP1,,,
,,,,TNPO1,,,
,,,,TNPO2,,,
,,,,TNPO3,,,
,,,,TNS1,,,
,,,,TNS3,,,
,,,,TOLLIP,,,
,,,,TOM1,,,
,,,,TOM1L1,,,
,,,,TOM1L2,,,
,,,,TOMM40,,,
,,,,TOMM70,,,
,,,,TOP1,,,
,,,,TOP2B,,,
,,,,TOR1AIP1,,,
,,,,TOR1B,,,
,,,,TP53I3,,,
,,,,TPD52,,,
,,,,TPD52L2,,,
,,,,TPI1,,,
,,,,TPK1,,,
,,,,TPM1.4,,,
,,,,TPM3,,,
,,,,TPM4.1,,,
,,,,TPMT,,,
,,,,TPP1,,,
,,,,TPP2,,,
,,,,TPRG1L,,,
,,,,TPT1,,,
,,,,TRA2A,,,
,,,,TRA2B,,,
,,,,TRADD,,,
,,,,TRAF6,,,
,,,,TRAP1,,,
,,,,TRAPPC1,,,
,,,,TRAPPC10,,,
,,,,TRAPPC11,,,
,,,,TRAPPC4,,,
,,,,TRAPPC6B,,,
,,,,TRIM2,,,
,,,,TRIM23,,,
,,,,TRIM25,,,
,,,,TRIM26,,,
,,,,TRIM28,,,
,,,,TRIM3,,,
,,,,TRIM47,,,
,,,,TRIOBP,,,
,,,,TRIP10,,,
,,,,TRIP12,,,
,,,,TRIP13,,,
,,,,TRMT1,,,
,,,,TRMT112,,,
,,,,TRMT1L,,,
,,,,TRMT61A,,,
,,,,TRNT1,,,
,,,,TSFM,,,
,,,,TSG101,,,
,,,,TSN,,,
,,,,TSNAX,,,
,,,,TSPAN1,,,
,,,,TST,,,
,,,,TSTA3,,,
,,,,TTC1,,,
,,,,TTC26,,,
,,,,TTC27,,,
,,,,TTC37,,,
,,,,TTC39B,,,
,,,,TTC4,,,
,,,,TTC5,,,
,,,,TTC8,,,
,,,,TTC9C,,,
,,,,TTLL12,,,
,,,,TUBB,,,
,,,,TUBB3,,,
,,,,TUBB4B,,,
,,,,TUBG1,,,
,,,,TUBGCP3,,,
,,,,TUFM,,,
,,,,TULP3,,,
,,,,TWF1,,,
,,,,TWF2,,,
,,,,TXLNA,,,
,,,,TXN2,,,
,,,,TXNDC12,,,
,,,,TXNDC17,,,
,,,,TXNDC5,,,
,,,,TXNDC9,,,
,,,,TXNL1,,,
,,,,TXNRD3,,,
,,,,U2AF1,,,
,,,,U2AF2,,,
,,,,U2SURP,,,
,,,,UAP1,,,
,,,,UAP1L1,,,
,,,,UBA1,,,
,,,,UBA2,,,
,,,,UBA3,,,
,,,,UBA5,,,
,,,,UBA6,,,
,,,,UBAC1,,,
,,,,UBE2B,,,
,,,,UBE2D3,,,
,,,,UBE2F,,,
,,,,UBE2G1,,,
,,,,UBE2I,,,
,,,,UBE2K,,,
,,,,UBE2M,,,
,,,,UBE2O,,,
,,,,UBE2V2,,,
,,,,UBE3A,,,
,,,,UBE3C,,,
,,,,UBE4A,,,
,,,,UBE4B,,,
,,,,UBFD1,,,
,,,,UBLCP1,,,
,,,,UBQLN1,,,
,,,,UBR4,,,
,,,,UBR5,,,
,,,,UBR7,,,
,,,,UBXN1,,,
,,,,UBXN4,,,
,,,,UCHL1,,,
,,,,UCHL3,,,
,,,,UCHL3.1,,,
,,,,UCHL5,,,
,,,,UCKL1,,,
,,,,UFC1,,,
,,,,UFL1,,,
,,,,UFM1,,,
,,,,UGDH,,,
,,,,UGGT1,,,
,,,,UGP2,,,
,,,,ULK4,,,
,,,,UNC119B,,,
,,,,UNC45A,,,
,,,,UPF1,,,
,,,,UPF2,,,
,,,,UPK1B,,,
,,,,UPK3B,,,
,,,,UPP1,,,
,,,,URI1,,,
,,,,UROS,,,
,,,,USP10,,,
,,,,USP11,,,
,,,,USP14,,,
,,,,USP15,,,
,,,,USP19,,,
,,,,USP24,,,
,,,,USP34,,,
,,,,USP39,,,
,,,,USP4,,,
,,,,USP47,,,
,,,,USP5,,,
,,,,USP8,,,
,,,,UTRN,,,
,,,,VAC14,,,
,,,,VAMP3,,,
,,,,VAMP7,,,
,,,,VAPA,,,
,,,,VAPB,,,
,,,,VARS1,,,
,,,,VASP,,,
,,,,VAT1,,,
,,,,VBP1,,,
,,,,VCL,,,
,,,,VCP,,,
,,,,VCPIP1,,,
,,,,VDAC1,,,
,,,,VDAC2,,,
,,,,VDAC3,,,
,,,,VILL,,,
,,,,VIM,,,
,,,,VPS11,,,
,,,,VPS13C,,,
,,,,VPS25,,,
,,,,VPS26A,,,
,,,,VPS26B,,,
,,,,VPS26C,,,
,,,,VPS29,,,
,,,,VPS35,,,
,,,,VPS35L,,,
,,,,VPS36,,,
,,,,VPS45,,,
,,,,VPS4A,,,
,,,,VPS4B,,,
,,,,VPS51,,,
,,,,VPS52,,,
,,,,VPS53,,,
,,,,VTA1,,,
,,,,VTN,,,
,,,,VWF,,,
,,,,WARS1,,,
,,,,WASF2,,,
,,,,WASHC1,,,
,,,,WASHC2C,,,
,,,,WASHC5,,,
,,,,WASL,,,
,,,,WBP2,,,
,,,,WDFY1,,,
,,,,WDFY2,,,
,,,,WDR1,,,
,,,,WDR11,,,
,,,,WDR26,,,
,,,,WDR35,,,
,,,,WDR4,,,
,,,,WDR44,,,
,,,,WDR47,,,
,,,,WDR60,,,
,,,,WDR60.1,,,
,,,,WDR61,,,
,,,,WDR63,,,
,,,,WDR66,,,
,,,,WDR7,,,
,,,,WDR77,,,
,,,,WDR81,,,
,,,,WDR82,,,
,,,,WDR91,,,
,,,,WDR92,,,
,,,,WFS1,,,
,,,,WIPI1,,,
,,,,WNK1,,,
,,,,WRAP53,,,
,,,,WRNIP1,,,
,,,,XAF1,,,
,,,,XDH,,,
,,,,XPNPEP1,,,
,,,,XPO1,,,
,,,,XPO4,,,
,,,,XPO5,,,
,,,,XPO7,,,
,,,,XPOT,,,
,,,,XRCC5,,,
,,,,XRCC6,,,
,,,,XRN2,,,
,,,,XYLB,,,
,,,,YAP1,,,
,,,,YARS1,,,
,,,,YBX1,,,
,,,,YES1,,,
,,,,YKT6,,,
,,,,YTHDF3,,,
,,,,YWHAB,,,
,,,,YWHAE,,,
,,,,YWHAG,,,
,,,,YWHAQ,,,
,,,,YWHAZ,,,
,,,,ZC3H15,,,
,,,,ZC3H7B,,,
,,,,ZCCHC8,,,
,,,,ZER1,,,
,,,,ZFAND2B,,,
,,,,ZFPL1,,,
,,,,ZFR,,,
,,,,ZFYVE16,,,
,,,,ZMYND10,,,
,,,,ZNF330,,,
,,,,ZNF358,,,
,,,,ZNF804B,,,
,,,,ZNRD2,,,
,,,,ZPR1,,,
,,,,ZRANB2,,,
,,,,ZWILCH,,,
,,,,ZYX,,,
,,,,ZZEF1,,,